,Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES,Number of Patients
146,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,470.0,1580.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 30 mins after meal; Healthy Control,10.0
147,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,510.0,1730.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 45 mins after meal; Healthy Control,10.0
148,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,560.0,1880.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 60 mins after meal; Healthy Control,10.0
149,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,660.0,2290.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 75 mins after meal; Healthy Control,10.0
150,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,770.0,2640.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 90 mins after meal; Healthy Control,10.0
151,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,690.0,2410.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 105 mins after meal; Healthy Control,10.0
152,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,620.0,2040.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 120 mins after meal; Healthy Control,10.0
153,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,600.0,1860.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 135 mins after meal; Healthy Control,10.0
154,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,570.0,1690.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 150 mins after meal; Healthy Control,10.0
155,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,7,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,620.0,1250.0,,,,,,Ileal Resection,,Non-Liver,,,3.0,4.0,35.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; Fasting; Ileal resectioned patients,7.0
156,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,7,Unhealthy,Fed,GC-MS,uM,,,,,,,,,,,,,,,,920.0,1750.0,,,,,,Ileal Resection,,Non-Liver,,,3.0,4.0,35.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 30 mins after meal; Ileal resectioned patients,7.0
157,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,7,Unhealthy,Fed,GC-MS,uM,,,,,,,,,,,,,,,,580.0,1620.0,,,,,,Ileal Resection,,Non-Liver,,,3.0,4.0,35.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 60 mins after meal; Ileal resectioned patients,7.0
158,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,7,Unhealthy,Fed,GC-MS,uM,,,,,,,,,,,,,,,,670.0,1930.0,,,,,,Ileal Resection,,Non-Liver,,,3.0,4.0,35.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 90 mins after meal; Ileal resectioned patients,7.0
159,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,7,Unhealthy,Fed,GC-MS,uM,,,,,,,,,,,,,,,,670.0,1950.0,,,,,,Ileal Resection,,Non-Liver,,,3.0,4.0,35.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 120 mins after meal; Ileal resectioned patients,7.0
160,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,7,Unhealthy,Fed,GC-MS,uM,,,,,,,,,,,,,,,,610.0,1720.0,,,,,,Ileal Resection,,Non-Liver,,,3.0,4.0,35.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 150 mins after meal; Ileal resectioned patients,7.0
161,Prediagnostic alterations in circulating bile acid profiles in the development of hepatocellular carcinoma,https://doi.org/10.1002/ijc.33885,Plasma,233,Unhealthy,Both,LC-MS,nM,116.8,262.2,308.3,35.5,,496.7,1687.5,315.7,147.3,27.8,246.7,63.7,2.8,14.0,,860.2,2013.4,626.8,196.8,27.8,4.153569452,0.296283408,Hepatocellular Carcinoma,,Liver,HCC,HCC,153.0,80.0,59.1,50ul plasma. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,LC-MS/MS,2021,Arithmetic Mean,0.63,LC-MS/MS: Mean; Hepatocellular Carcinoma (includes patients with Hep B/C),233.0
162,Prediagnostic alterations in circulating bile acid profiles in the development of hepatocellular carcinoma,https://doi.org/10.1002/ijc.33885,Plasma,233,Both,Both,LC-MS,nM,75.4,161.1,256.6,23.0,,173.6,804.0,194.7,74.3,17.4,65.7,24.4,1.2,3.9,,314.7,989.5,452.5,101.2,,2.63359814,0.437892961,,,Healthy,Normal,Normal,153.0,80.0,59.1,50ul plasma. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,LC-MS/MS,2021,Arithmetic Mean,0.5,LC-MS/MS: Mean; Non hepatoceullar carcinoma matched control but (includes patients with Hep B/C),233.0
163,Prediagnostic Concentrations of Circulating Bile Acids and Hepatocellular Carcinoma Risk: REVEAL-HBV and HCV Studies,https://doi.org/10.1002/ijc.33051,Serum,185,Unhealthy,Unknown,LC-MS,nM,214.71,372.02,163.8,72.65,9.12,866.53,1804.57,364.77,205.02,10.73,271.44,617.91,96.37,25.2,7.2,1352.68,2794.5,624.94,302.87,27.05,5.130049261,0.230243201,Hepatocellular Carcinoma,,Liver,HCC,HCC,150.0,35.0,51.3,,,,,,,,LC-MS/MS,2020,Arithmetic Mean,,LC-MS/MS: Mean; HBV Positive with HCC (some patients with cirrhosis at baseline),185.0
164,Prediagnostic Concentrations of Circulating Bile Acids and Hepatocellular Carcinoma Risk: REVEAL-HBV and HCV Studies,https://doi.org/10.1002/ijc.33051,Serum,96,Unhealthy,Unknown,LC-MS,nM,221.28,347.43,179.49,69.9,12.27,800.21,1396.41,292.83,152.53,14.96,357.58,458.4,82.58,20.39,7.46,1379.07,2202.24,554.9,242.82,34.69,4.31536544,0.232431708,Hepatocellular Carcinoma,,Liver,HCC,HCC,56.0,40.0,54.4,,,,,,,,LC-MS/MS,2020,Arithmetic Mean,,LC-MS/MS: Mean; HCV Positive with HCC (some patients with cirrhosis at baseline),96.0
165,Prediagnostic Concentrations of Circulating Bile Acids and Hepatocellular Carcinoma Risk: REVEAL-HBV and HCV Studies,https://doi.org/10.1002/ijc.33051,Serum,161,Unhealthy,Unknown,LC-MS,nM,150.84,319.62,195.43,68.73,8.92,429.73,1052.47,313.82,144.4,13.17,111.08,239.4,76.09,14.13,7.0,691.65,1611.49,585.34,227.26,29.09,3.229537079,0.365453251,Hep B,,Liver,,,130.0,31.0,50.7,,,,,,,,LC-MS/MS,2020,Arithmetic Mean,,LC-MS/MS: Mean; HBV Positive  Controls ,161.0
166,Prediagnostic Concentrations of Circulating Bile Acids and Hepatocellular Carcinoma Risk: REVEAL-HBV and HCV Studies,https://doi.org/10.1002/ijc.33051,Serum,96,Unhealthy,Unknown,LC-MS,nM,202.01,346.06,178.53,86.35,9.93,232.18,727.37,173.39,138.94,10.3,89.4,191.06,54.26,16.47,7.21,523.59,1264.49,406.18,241.76,27.44,1.993705036,0.377712407,Hep C,,Liver,,,56.0,40.0,54.5,,,,,,,,LC-MS/MS,2020,Arithmetic Mean,,LC-MS/MS: Mean; HCV Positive Controls (some patients with cirrhosis at baseline),96.0
167,Prediagnostic Plasma Bile Acid Levels and Colon Cancer Risk: A Prospective Study,https://doi.org/10.1093/jnci/djz166,Plasma,569,Unknown,Both,LC-MS,nM,76.5,150.4,217.5,23.1,,94.9,462.9,107.2,59.1,10.1,12.9,45.0,14.5,2.5,,184.3,658.3,339.2,84.7,,1.730695187,0.515072395,,,,,,213.0,356.0,57.5,50ul spiked with IS. Proteins precipitated. Samples dried and reconstituted in 50ul MeOH:H2O 50:50.,50.0,Methanol,Vacuum,Methanol:H2O,,,UPLC-MRM-MS,2019,Median,,UPLC-MRM-MS: Median; Matched Control (Unknown EHC diseases),569.0
168,Prediagnostic Plasma Bile Acid Levels and Colon Cancer Risk: A Prospective Study,https://doi.org/10.1093/jnci/djz166,Plasma,569,Unhealthy,Both,LC-MS,nM,91.7,164.3,239.3,22.9,,119.8,496.8,125.3,55.5,9.6,15.0,50.5,17.0,2.5,,226.5,711.6,381.6,80.9,,1.721343111,0.503251253,Primary Colon Cancer,,Non-Liver,,,213.0,356.0,57.5,50ul spiked with IS. Proteins precipitated. Samples dried and reconstituted in 50ul MeOH:H2O 50:50.,50.0,Methanol,Vacuum,Methanol:H2O,,,UPLC-MRM-MS,2019,Median,,UPLC-MRM-MS: Median; Primary Colon Cancer,569.0
169,Primary bile acids as potential biomarkers for the clinical grading of intrahepatic cholestasis of pregnancy,https://doi.org/10.1016/j.ijgo.2013.02.015,Serum,33,Unhealthy,Fed,LC-MS,uM,820.0,190.0,370.0,120.0,60.0,16950.0,7120.0,2070.0,,120.0,24250.0,3010.0,1300.0,190.0,90.0,42020.0,10320.0,3740.0,310.0,270.0,35.32051282,0.082537256,Severe Intrahepatic Cholestasis,,Liver,Cholestasis,Cholestasis,0.0,33.0,29.4,300ul serum mixed with 1ml 0.05% formic acid. Loaded onto reversed-phase extraction cartridges conditioned with 1ml MeOH and 1ml 0.05% formic acid. Cartridges washed with 1ml 0.05% formic acid and 1ml 45% MeOH. BAs eluted from cartridge with 1.5ml MeOH and dried under N2 at 60degs. Reconstitute in in 100ul 20% methanol 0.01% formic acid with ultrasonication.,300.0,Formic Acid,N2,,SPE,,HPLC-MS/MS,2013,Arithmetic Mean,,HPLC-MS/MS: Mean; Severe intrahepatic cholestasis of pregnancy; 7 patients with TBIL or DBIL>1.46mg/dl,33.0
170,Primary bile acids as potential biomarkers for the clinical grading of intrahepatic cholestasis of pregnancy,https://doi.org/10.1016/j.ijgo.2013.02.015,Serum,28,Unhealthy,Fed,LC-MS,uM,370.0,250.0,520.0,140.0,60.0,4050.0,3020.0,2000.0,,120.0,3330.0,1050.0,320.0,140.0,100.0,7750.0,4320.0,2840.0,280.0,280.0,10.54477612,0.281690141,Mild Intrahepatic Cholestasis,,Liver,Cholestasis,Cholestasis,0.0,28.0,27.9,300ul serum mixed with 1ml 0.05% formic acid. Loaded onto reversed-phase extraction cartridges conditioned with 1ml MeOH and 1ml 0.05% formic acid. Cartridges washed with 1ml 0.05% formic acid and 1ml 45% MeOH. BAs eluted from cartridge with 1.5ml MeOH and dried under N2 at 60degs. Reconstitute in in 100ul 20% methanol 0.01% formic acid with ultrasonication.,300.0,Formic Acid,N2,,SPE,,HPLC-MS/MS,2013,Arithmetic Mean,,HPLC-MS/MS: Mean; Mild intrahepatic cholestasis of pregnancy; No patients with TBIL or DBIL>1.46mg/dl,28.0
171,Primary bile acids as potential biomarkers for the clinical grading of intrahepatic cholestasis of pregnancy,https://doi.org/10.1016/j.ijgo.2013.02.015,Serum,35,Normal,Fasted,LC-MS,uM,350.0,470.0,500.0,190.0,60.0,1470.0,1610.0,920.0,,120.0,440.0,970.0,110.0,110.0,120.0,2260.0,3050.0,1530.0,300.0,300.0,3.738853503,0.401129944,,,Healthy,Normal,Normal,0.0,35.0,28.7,300ul serum mixed with 1ml 0.05% formic acid. Loaded onto reversed-phase extraction cartridges conditioned with 1ml MeOH and 1ml 0.05% formic acid. Cartridges washed with 1ml 0.05% formic acid and 1ml 45% MeOH. BAs eluted from cartridge with 1.5ml MeOH and dried under N2 at 60degs. Reconstitute in in 100ul 20% methanol 0.01% formic acid with ultrasonication.,300.0,Formic Acid,N2,,SPE,,HPLC-MS/MS,2013,Arithmetic Mean,,HPLC-MS/MS: Mean; Normal Pregnancy; No patients with TBIL>1.46mg/dl,35.0
172,Profiling Circulating and Urinary Bile Acids in Patients with Biliary Obstruction before and after Biliary Stenting,https://doi.org/10.1371/journal.pone.0022094,Serum,17,Unhealthy,Fasted,LC-MS,nM,173.3,84.4,20.7,20.3,1.5,56222.3,28534.5,417.6,,10.5,54486.9,16577.8,213.4,74.9,11.6,110882.5,45196.7,651.7,,23.6,521.4840107,0.004936596,Biliary Stenosis,,Liver,Cholestasis,Cholestasis,8.0,9.0,64.0,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and recons,100.0,Formic Acid,N2,Methanol:H2O;Ammonium Acetate;Formic Acid,SPE,,HPLC-MS/MS,2011,Arithmetic Mean,1.6,HPLC-MS/MS: Mean; Post-stenting,17.0
173,Profiling Circulating and Urinary Bile Acids in Patients with Biliary Obstruction before and after Biliary Stenting,https://doi.org/10.1371/journal.pone.0022094,Serum,17,Unhealthy,Fasted,LC-MS,nM,86.6,236.2,254.4,1085.6,26.3,460.4,1986.8,225.9,,46.7,302.6,286.7,43.2,97.6,13.8,849.6,2509.7,523.5,,86.8,2.050618673,0.533890989,Biliary Stenosis,,Liver,Cholestasis,Cholestasis,8.0,9.0,64.0,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and recons,100.0,Formic Acid,N2,Methanol:H2O;Ammonium Acetate;Formic Acid,SPE,,HPLC-MS/MS,2011,Arithmetic Mean,15.06,HPLC-MS/MS: Mean; Pre-stenting,17.0
174,Profiling Circulating and Urinary Bile Acids in Patients with Biliary Obstruction before and after Biliary Stenting,https://doi.org/10.1371/journal.pone.0022094,Serum,40,Normal,Fasted,LC-MS,nM,181.5,256.8,386.7,137.6,12.8,233.0,771.5,246.2,,16.3,179.7,120.2,44.9,5.0,23.4,594.2,1148.5,677.8,,52.5,1.681566537,0.500889424,,,Healthy,Normal,Normal,20.0,20.0,,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and recons,100.0,Formic Acid,N2,Methanol:H2O;Ammonium Acetate;Formic Acid,SPE,,HPLC-MS/MS,2011,Arithmetic Mean,0.54,HPLC-MS/MS: Mean; Non-cholestatic patients,40.0
175,Profiling of Serum Bile Acids in a Healthy Chinese Population Using UPLC–MS/MS,https://doi.org/10.1021/pr500920q,Serum,138,Normal,Fasted,LC-MS,ng/ml,79.9314733235438,214.8751910341314,177.53438614365766,74.52878247580234,7.620817843866171,156.42182130584192,451.51245551601426,120.24021352313169,32.895907473309606,6.5728782287822884,20.18615474112856,31.658995397238346,18.91134680808485,3.6621973183910352,3.7626628075253254,115.9,303.18,133.21,45.88,7.54,1.767694768,0.445332633,,,Healthy,Normal,Normal,0.0,138.0,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-MS/MS,2015,Arithmetic Mean,,UPLC-MS/MS: Mean; Healthy females,138.0
176,Profiling of Serum Bile Acids in a Healthy Chinese Population Using UPLC–MS/MS,https://doi.org/10.1021/pr500920q,Serum,364,Normal,Fasted,LC-MS,ng/ml,124.37591776798824,365.4610290371879,156.74987264391237,106.59704533876719,7.010090281465747,175.536941580756,625.7339857651245,95.57384341637011,52.246441281138786,3.9437269372693726,14.834205933682373,36.96217730638383,13.608164898939364,4.102461476886131,3.3285094066570187,140.2,443.28,111.31,67.39,5.96,1.557653248,0.316480428,,,Healthy,Normal,Normal,364.0,0.0,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-MS/MS,2015,Arithmetic Mean,,UPLC-MS/MS: Mean; Healthy males,364.0
177,Quantitation of serum bile acids by isotope dilution with 13C labelled homologs.,https://doi.org/10.1016/0009-8981(87)90231-2,Serum,15,Normal,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,490.0,980.0,1070.0,,,,,,,Healthy,Normal,Normal,7.0,8.0,,Reversed phase octadecylsilane bonded silica cartridges; solvolysed; hydrolysed enzymatically; reextracted on Lipidex 100 and derivatised to methyl ester TMS ether derivatives. Separated on fused silica capillary GLC column coated with OV-1701 and introduced to Finnigan 4000 MS,,,,,,,GC-MS,1987,Arithmetic Mean,,GC-MS: Mean; Healthy; Fasted,15.0
178,Quantitation of serum bile acids by isotope dilution with 13C labelled homologs.,https://doi.org/10.1016/0009-8981(87)90231-2,Serum,15,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,810.0,2420.0,1660.0,,,,,,,Healthy,Normal,Normal,7.0,8.0,,Reversed phase octadecylsilane bonded silica cartridges; solvolysed; hydrolysed enzymatically; reextracted on Lipidex 100 and derivatised to methyl ester TMS ether derivatives. Separated on fused silica capillary GLC column coated with OV-1701 and introduced to Finnigan 4000 MS,,,,,,,GC-MS,1987,Arithmetic Mean,,GC-MS: Mean; Healthy; Fed (2h after standard meal),15.0
179,Quantitative Analysis of Bile Acids in Human Plasma by Liquid Chromatography-Electrospray Tandem Mass Spectrometry: A Simple and Rapid One-Step Method,https://doi.org/10.1515/CCLM.2003.247,Plasma,7,Unhealthy,Unknown,LC-MS,uM,1161.0,771.0,140.0,343.0,21.0,31971.0,17714.0,1963.0,,180.0,14443.0,5968.0,576.0,1614.0,31.0,47575.0,24453.0,2679.0,,232.0,30.56650246,0.067584828,Cholestatic Hepatobiliary Disease,,Liver,Cholestasis,Cholestasis,,,,250ul plasma mixed with 800ul acetonitrile. Vortex and centrifuge. SN blown to dryness with N2. Reconstituted in 125ul methanol and 125ul water.,250.0,Acetonitrile,N2,Methanol:H2O,,,LC-MS/MS,2011,Arithmetic Mean,,LC-MS/MS: Mean; Cholestatic,
180,Quantitative Analysis of Bile Acids in Human Plasma by Liquid Chromatography-Electrospray Tandem Mass Spectrometry: A Simple and Rapid One-Step Method,https://doi.org/10.1515/CCLM.2003.247,Plasma,10,Normal,Unknown,LC-MS,uM,111.0,200.0,129.0,118.0,10.0,232.0,696.0,83.0,,6.0,70.0,228.0,19.0,8.0,0.6,413.0,1124.0,231.0,,16.6,2.363732394,0.243070917,,,Healthy,Normal,Normal,,,,250ul plasma mixed with 800ul acetonitrile. Vortex and centrifuge. SN blown to dryness with N2. Reconstituted in 125ul methanol and 125ul water.,250.0,Acetonitrile,N2,Methanol:H2O,,,LC-MS/MS,2011,Arithmetic Mean,,LC-MS/MS: Mean; clinical controls,
181,Quantitative bile acid profiling by liquid chromatography quadrupole time-of-flight mass spectrometry: monitoring hepatitis B therapy by a novel Na+ -taurocholate cotransporting polypeptide inhibitor,https://doi.org/10.1007/s00216-015-8853-5,Plasma,10,Normal,Fed,LC-MS,nM,220.0,224.0,284.0,138.0,,315.0,1321.0,435.0,204.0,78.0,49.0,144.0,61.0,15.0,24.0,584.0,1689.0,780.0,357.0,102.0,3.055427252,0.545094589,,,Healthy,Normal,Normal,5.0,5.0,33.5,50ul plasma. Add 210ul ice-cold MeOH and 20ul MeOH/H2O 1:1 with IS to reach 300nM concentration. Vortex. Incubate 20mins at -20degs. Centrifuge. Evaporate SN under N2 at 40degs. Reconstitute in 100ul 12 mM ammonium acetate in water and centrifuge.,50.0,Methanol,N2,Ammonium Acetate:Water,,,UPLC-MS,2015,Arithmetic Mean,,UPLC-MS: Mean; Healthy; Plasma,10.0
182,Quantitative bile acid profiling by liquid chromatography quadrupole time-of-flight mass spectrometry: monitoring hepatitis B therapy by a novel Na+ -taurocholate cotransporting polypeptide inhibitor,https://doi.org/10.1007/s00216-015-8853-5,Serum,9,Normal,Fed,LC-MS,nM,283.0,227.0,304.0,55.0,,270.0,871.0,425.0,133.0,21.0,132.0,198.0,113.0,11.0,12.0,685.0,1296.0,842.0,199.0,33.0,2.515535098,0.542150429,,,Healthy,Normal,Normal,4.0,5.0,37.5,50ul plasma. Add 210ul ice-cold MeOH and 20ul MeOH/H2O 1:1 with IS to reach 300nM concentration. Vortex. Incubate 20mins at -20degs. Centrifuge. Evaporate SN under N2 at 40degs. Reconstitute in 100ul 12 mM ammonium acetate in water and centrifuge.,50.0,Methanol,N2,Ammonium Acetate:Water,,,UPLC-MS,2015,Arithmetic Mean,,UPLC-MS; Mean; Healthy; Serum,9.0
